"longitude,latitude",longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,num_ocean_proximity,ocean_proximity
-117.23 ; 32.81,-117.23,32.81,24.666666666666668,2661.3333333333335,400.0,1191.6666666666667,386.3333333333333,5.9742999999999995,366166.6666666667,2.0,NEAR OCEAN
-117.23 ; 32.85,-117.23,32.85,25.0,4229.0,601.0,1634.0,574.0,6.3955,316700.0,2.0,NEAR OCEAN
-117.23 ; 32.86,-117.23,32.86,15.666666666666666,1526.0,380.6666666666667,613.0,352.3333333333333,4.454366666666666,166033.33333333334,2.0,NEAR OCEAN
-117.23 ; 32.87,-117.23,32.87,15.0,2290.0,662.0,1034.0,594.0,3.0104,204200.0,2.0,NEAR OCEAN
-117.23 ; 32.88,-117.23,32.88,18.0,5566.0,1465.0,6303.0,1458.0,1.858,205000.0,2.0,NEAR OCEAN
-117.23 ; 33.01,-117.23,33.01,18.0,3961.0,511.0,1541.0,470.0,11.1118,500001.0,2.0,NEAR OCEAN
-117.23 ; 33.09,-117.23,33.09,7.0,5320.0,855.0,2015.0,768.0,6.3373,279600.0,2.0,NEAR OCEAN
-117.23 ; 33.1,-117.23,33.1,4.0,1862.0,291.0,685.0,248.0,7.745,237400.0,2.0,NEAR OCEAN
-117.23 ; 33.16,-117.23,33.16,3.0,3845.0,785.5,1627.5,695.0,3.8368,221300.0,2.0,NEAR OCEAN
-117.23 ; 33.2,-117.23,33.2,25.0,2828.0,540.0,1384.5,524.5,4.2019,189250.0,0.0,<1H OCEAN
-117.23 ; 33.21,-117.23,33.21,21.0,1934.0,386.0,861.0,381.0,3.6181,213800.0,0.0,<1H OCEAN
-117.23 ; 33.22,-117.23,33.22,17.0,2779.0,651.0,999.0,582.5,1.9163000000000001,122900.0,0.0,<1H OCEAN
-117.23 ; 33.23,-117.23,33.23,13.0,2899.0,657.0,1946.0,579.0,2.9875,172000.0,0.0,<1H OCEAN
-117.23 ; 33.24,-117.23,33.24,26.0,1991.0,330.0,1014.0,304.0,4.3068,240100.0,0.0,<1H OCEAN
-117.23 ; 33.38,-117.23,33.38,18.0,3339.0,704.0,1727.0,652.0,2.8393,173200.0,0.0,<1H OCEAN
-117.23 ; 33.57,-117.23,33.57,6.0,13724.0,2269.0,5860.0,1986.0,3.9617,183000.0,0.0,<1H OCEAN
-117.23 ; 33.68,-117.23,33.68,10.0,3659.0,650.0,1476.0,515.0,3.8869,125900.0,0.0,<1H OCEAN
-117.23 ; 33.77,-117.23,33.77,5.0,2108.0,496.0,1666.0,461.0,2.0,83000.0,1.0,INLAND
-117.23 ; 33.78,-117.23,33.78,23.0,3465.0,703.0,2672.0,607.0,1.9767,81500.0,1.0,INLAND
-117.23 ; 33.79,-117.23,33.79,17.0,3318.0,759.0,2016.0,673.0,2.2969,89300.0,1.0,INLAND
-117.23 ; 33.83,-117.23,33.83,2.0,1424.0,251.0,681.0,192.0,4.0833,100000.0,1.0,INLAND
-117.23 ; 33.91,-117.23,33.91,9.0,11654.0,2100.0,7596.0,2127.0,4.0473,127200.0,1.0,INLAND
-117.23 ; 33.94,-117.23,33.94,7.0,13195.0,2696.0,6763.0,2437.0,3.5851,142000.0,1.0,INLAND
-117.23 ; 33.96,-117.23,33.96,5.0,9179.0,1361.0,4573.0,1294.0,5.253,163300.0,1.0,INLAND
-117.23 ; 34.11,-117.23,34.11,27.5,1666.0,360.5,1210.0,358.0,2.3004,79800.0,1.0,INLAND
-117.23 ; 34.12,-117.23,34.12,18.0,1439.0,319.0,699.0,310.0,2.1071,73500.0,1.0,INLAND
-117.23 ; 34.13,-117.23,34.13,10.0,1145.0,293.0,726.0,251.0,1.645,68700.0,1.0,INLAND
-117.23 ; 34.14,-117.23,34.14,16.0,2577.0,521.0,956.0,472.0,2.5625,129400.0,1.0,INLAND
-117.23 ; 34.15,-117.23,34.15,17.0,5036.0,817.0,2084.0,833.0,4.6445,137200.0,1.0,INLAND
-117.23 ; 34.49,-117.23,34.49,9.0,4055.0,536.0,1458.0,478.0,5.4201,170600.0,1.0,INLAND
-117.23 ; 34.51,-117.23,34.51,9.0,5756.0,807.0,2158.0,758.0,5.5875,167800.0,1.0,INLAND
-117.24 ; 32.72,-117.24,32.72,39.0,3454.0,512.5,1268.0,507.5,7.0969,431550.0,2.0,NEAR OCEAN
-117.24 ; 32.73,-117.24,32.73,37.0,2260.0,354.0,809.0,351.0,5.9113,388300.0,2.0,NEAR OCEAN
-117.24 ; 32.74,-117.24,32.74,44.0,1777.0,303.0,763.5,324.0,4.422975,300750.0,2.0,NEAR OCEAN
-117.24 ; 32.75,-117.24,32.75,37.666666666666664,2225.3333333333335,552.6666666666666,1038.6666666666667,521.6666666666666,2.6946,233100.0,2.0,NEAR OCEAN
-117.24 ; 32.79,-117.24,32.79,18.25,1597.5,440.5,600.0,322.75,3.510525,239075.0,2.0,NEAR OCEAN
-117.24 ; 32.8,-117.24,32.8,25.0,2311.0,617.6666666666666,1044.5,580.3333333333334,2.786566666666667,209883.33333333334,2.0,NEAR OCEAN
-117.24 ; 32.81,-117.24,32.81,33.5,2004.0,340.0,800.0,346.5,5.9992,363400.0,2.0,NEAR OCEAN
-117.24 ; 32.82,-117.24,32.82,20.0,2467.0,332.0,731.0,335.0,7.2559,392300.0,2.0,NEAR OCEAN
-117.24 ; 32.83,-117.24,32.83,18.0,3109.0,501.0,949.0,368.0,7.4351,445700.0,2.0,NEAR OCEAN
-117.24 ; 32.85,-117.24,32.85,20.0,3298.0,461.5,1078.0,404.0,8.4147,444250.5,2.0,NEAR OCEAN
-117.24 ; 32.94,-117.24,32.94,12.0,2165.0,437.0,792.0,386.0,5.2648,294400.0,2.0,NEAR OCEAN
-117.24 ; 32.95,-117.24,32.95,18.0,1591.0,268.0,547.0,243.0,5.9547,329300.0,2.0,NEAR OCEAN
-117.24 ; 32.98,-117.24,32.98,4.0,6423.0,1042.0,2607.0,983.0,7.6348,337000.0,2.0,NEAR OCEAN
-117.24 ; 33.0,-117.24,33.0,16.0,2512.0,356.0,795.0,353.0,7.5975,369100.0,2.0,NEAR OCEAN
-117.24 ; 33.04,-117.24,33.04,13.0,3498.0,663.0,1412.0,618.0,3.212,147600.0,2.0,NEAR OCEAN
-117.24 ; 33.05,-117.24,33.05,11.0,5827.0,882.0,2588.0,842.0,6.4027,344200.0,2.0,NEAR OCEAN
-117.24 ; 33.11,-117.24,33.11,10.0,3487.0,545.0,1410.0,557.0,6.0336,240300.0,2.0,NEAR OCEAN
-117.24 ; 33.17,-117.24,33.17,4.0,9998.0,1874.0,3925.0,1672.0,4.2826,237500.0,0.0,<1H OCEAN
-117.24 ; 33.18,-117.24,33.18,19.0,3337.0,565.0,1646.0,554.0,5.0195,200200.0,0.0,<1H OCEAN
-117.24 ; 33.19,-117.24,33.19,19.0,1569.0,351.0,1035.0,352.0,2.9191,159400.0,0.0,<1H OCEAN
-117.24 ; 33.2,-117.24,33.2,25.5,1666.0,409.5,1017.0,376.5,2.4812,159600.0,0.0,<1H OCEAN
-117.24 ; 33.21,-117.24,33.21,15.333333333333334,2068.0,511.3333333333333,1792.6666666666667,452.6666666666667,2.4716666666666667,128133.33333333333,0.0,<1H OCEAN
-117.24 ; 33.22,-117.24,33.22,20.0,1962.0,334.0,1173.0,349.0,4.1316,162500.0,0.0,<1H OCEAN
-117.24 ; 33.23,-117.24,33.23,17.0,2737.0,478.0,1480.5,463.0,3.7567500000000003,173450.0,0.0,<1H OCEAN
-117.24 ; 33.34,-117.24,33.34,17.0,2866.0,442.0,1354.0,431.0,4.5764,257300.0,0.0,<1H OCEAN
-117.24 ; 33.36,-117.24,33.36,11.0,2786.0,480.0,1250.0,450.0,4.5,222600.0,0.0,<1H OCEAN
-117.24 ; 33.37,-117.24,33.37,14.0,4687.0,793.0,2436.0,779.0,4.5391,180900.0,0.0,<1H OCEAN
-117.24 ; 33.38,-117.24,33.38,16.0,2792.0,525.0,1696.0,516.0,3.668,171200.0,0.0,<1H OCEAN
-117.24 ; 33.4,-117.24,33.4,16.0,2704.0,463.0,1322.0,424.0,3.7857,227000.0,0.0,<1H OCEAN
-117.24 ; 33.85,-117.24,33.85,8.0,1031.0,201.0,606.0,179.0,2.8194,136300.0,1.0,INLAND
-117.24 ; 33.93,-117.24,33.93,12.0,7105.0,1447.0,4520.0,1333.0,3.2705,113200.0,1.0,INLAND
-117.24 ; 33.94,-117.24,33.94,15.0,1569.0,423.0,1123.0,369.0,1.6111,113900.0,1.0,INLAND
-117.24 ; 33.95,-117.24,33.95,11.0,6617.0,1118.0,3710.0,1087.0,4.7877,132600.0,1.0,INLAND
-117.24 ; 34.04,-117.24,34.04,8.666666666666666,3142.0,474.3333333333333,1409.0,474.3333333333333,6.5043999999999995,201166.66666666666,1.0,INLAND
-117.24 ; 34.06,-117.24,34.06,9.0,3603.0,786.0,1782.0,718.0,3.2604,93300.0,1.0,INLAND
-117.24 ; 34.11,-117.24,34.11,23.0,1920.0,454.0,1161.0,358.0,2.2109,73200.0,1.0,INLAND
-117.24 ; 34.12,-117.24,34.12,29.0,2654.0,667.0,1822.0,593.0,2.1563,72300.0,1.0,INLAND
-117.24 ; 34.13,-117.24,34.13,25.0,2488.5,513.0,1253.5,403.5,2.2528,93200.0,1.0,INLAND
-117.24 ; 34.15,-117.24,34.15,26.0,2041.0,293.0,936.0,375.0,6.0,140200.0,1.0,INLAND
-117.24 ; 34.59,-117.24,34.59,4.0,5027.0,797.0,1869.0,686.0,3.5507,186100.0,1.0,INLAND
-117.25 ; 32.72,-117.25,32.72,36.0,2632.0,450.0,2038.0,419.0,6.5319,345800.0,2.0,NEAR OCEAN
-117.25 ; 32.73,-117.25,32.73,38.5,1764.0,273.5,634.0,277.5,4.75315,375500.0,2.0,NEAR OCEAN
-117.25 ; 32.74,-117.25,32.74,37.0,2201.0,561.25,983.25,529.75,2.78745,270075.0,2.0,NEAR OCEAN
-117.25 ; 32.75,-117.25,32.75,32.0,3551.0,1037.0,1731.0,935.0,2.2017,208300.0,2.0,NEAR OCEAN
-117.25 ; 32.76,-117.25,32.76,38.0,2331.0,493.0,836.0,433.0,4.9125,452600.0,2.0,NEAR OCEAN
-117.25 ; 32.77,-117.25,32.77,33.5,2257.5,607.0,1049.5,554.5,3.60565,373900.0,2.0,NEAR OCEAN
-117.25 ; 32.78,-117.25,32.78,28.5,1503.0,455.5,684.0,348.0,2.61785,320850.0,2.0,NEAR OCEAN
-117.25 ; 32.79,-117.25,32.79,31.666666666666668,1127.0,305.0,549.3333333333334,293.6666666666667,2.8522666666666665,306900.0,2.0,NEAR OCEAN
-117.25 ; 32.8,-117.25,32.8,30.8,2113.4,578.8,989.2,545.0,3.13464,258880.0,2.0,NEAR OCEAN
-117.25 ; 32.81,-117.25,32.81,35.5,2124.0,450.5,892.5,430.5,3.65645,309650.0,2.0,NEAR OCEAN
-117.25 ; 32.82,-117.25,32.82,19.0,5255.0,762.0,1773.0,725.0,7.8013,474000.0,2.0,NEAR OCEAN
-117.25 ; 32.83,-117.25,32.83,17.0,2075.0,262.0,704.0,241.0,10.9529,500001.0,2.0,NEAR OCEAN
-117.25 ; 32.84,-117.25,32.84,19.0,1759.0,214.0,659.0,195.0,10.7751,500001.0,2.0,NEAR OCEAN
-117.25 ; 32.86,-117.25,32.86,27.5,2290.5,376.0,871.5,350.5,8.7726,500001.0,2.0,NEAR OCEAN
-117.25 ; 32.94,-117.25,32.94,15.5,3279.5,573.0,1251.0,526.0,6.375,398200.0,2.0,NEAR OCEAN
-117.25 ; 32.96,-117.25,32.96,18.0,4773.0,743.0,1970.0,716.0,6.6199,406200.0,2.0,NEAR OCEAN
-117.25 ; 32.99,-117.25,32.99,10.0,4926.0,749.0,1478.0,634.0,7.472,439900.0,2.0,NEAR OCEAN
-117.25 ; 33.01,-117.25,33.01,16.0,3892.0,520.0,1454.0,524.0,7.7317,396000.0,2.0,NEAR OCEAN
-117.25 ; 33.03,-117.25,33.03,6.0,3416.0,493.0,1319.0,467.0,6.9326,324600.0,2.0,NEAR OCEAN
-117.25 ; 33.05,-117.25,33.05,16.0,2794.0,476.0,1387.0,442.0,4.3286,213400.0,2.0,NEAR OCEAN
-117.25 ; 33.06,-117.25,33.06,6.0,9859.0,1448.0,4194.0,1401.0,6.439,296200.0,2.0,NEAR OCEAN
-117.25 ; 33.08,-117.25,33.08,14.0,7208.0,1012.0,3097.0,1014.0,6.617,285200.0,2.0,NEAR OCEAN
-117.25 ; 33.1,-117.25,33.1,14.0,3676.0,720.0,1176.0,614.0,3.9464,171900.0,2.0,NEAR OCEAN
-117.25 ; 33.12,-117.25,33.12,8.0,8552.0,1437.0,3335.0,1323.0,5.311,255800.0,2.0,NEAR OCEAN
-117.25 ; 33.19,-117.25,33.19,18.0,1891.0,306.0,830.0,279.0,4.5764,207000.0,0.0,<1H OCEAN
-117.25 ; 33.2,-117.25,33.2,16.0,2205.5,545.5,1387.0,533.5,2.4293,127900.0,0.0,<1H OCEAN
-117.25 ; 33.21,-117.25,33.21,11.0,1573.5,390.0,1513.5,373.0,2.3499499999999998,122100.0,0.0,<1H OCEAN
-117.25 ; 33.22,-117.25,33.22,22.5,2088.5,395.0,1407.0,383.0,3.7407500000000002,139200.0,0.0,<1H OCEAN
-117.25 ; 33.25,-117.25,33.25,6.0,6160.0,993.0,2997.0,1029.0,4.6187,205000.0,0.0,<1H OCEAN
-117.25 ; 33.36,-117.25,33.36,6.0,3725.0,960.0,2833.0,915.0,2.3214,247000.0,0.0,<1H OCEAN
-117.25 ; 33.37,-117.25,33.37,8.0,1755.0,530.0,1687.0,511.0,1.995,146900.0,0.0,<1H OCEAN
-117.25 ; 33.38,-117.25,33.38,16.5,2575.0,598.0,1519.0,538.0,2.5478,140550.0,0.0,<1H OCEAN
-117.25 ; 33.39,-117.25,33.39,22.0,2699.0,543.0,1425.0,491.0,2.375,137300.0,0.0,<1H OCEAN
-117.25 ; 33.65,-117.25,33.65,10.0,1652.0,316.0,725.0,233.0,3.5125,155600.0,0.0,<1H OCEAN
-117.25 ; 33.7,-117.25,33.7,10.0,5156.0,941.0,2294.0,747.0,3.58,113400.0,0.0,<1H OCEAN
-117.25 ; 33.92,-117.25,33.92,7.0,9812.0,1914.0,5595.0,1729.0,4.1482,124600.0,1.0,INLAND
-117.25 ; 33.93,-117.25,33.93,8.0,10110.0,1761.0,5804.0,1703.0,4.2654,137600.0,1.0,INLAND
-117.25 ; 34.04,-117.25,34.04,18.0,5761.0,1063.0,2763.0,1058.0,4.4472,161100.0,1.0,INLAND
-117.25 ; 34.06,-117.25,34.06,20.5,4756.0,1132.0,3106.0,950.0,2.49315,99750.0,1.0,INLAND
-117.25 ; 34.07,-117.25,34.07,21.0,3067.0,706.0,2140.0,687.0,2.4432,78800.0,1.0,INLAND
-117.25 ; 34.08,-117.25,34.08,30.0,2981.0,605.0,1784.0,573.0,2.45,85800.0,1.0,INLAND
-117.25 ; 34.11,-117.25,34.11,32.0,2910.0,641.0,2011.0,614.0,2.7473,70800.0,1.0,INLAND
-117.25 ; 34.12,-117.25,34.12,17.0,3107.0,752.0,2160.0,643.0,1.8463,72600.0,1.0,INLAND
-117.25 ; 34.13,-117.25,34.13,35.0,2698.0,487.5,1332.5,487.0,3.3428,86700.0,1.0,INLAND
-117.25 ; 34.14,-117.25,34.14,19.0,5163.0,1229.0,2680.0,1141.0,2.2482,114500.0,1.0,INLAND
-117.25 ; 34.15,-117.25,34.15,22.0,7935.0,1976.0,4523.0,1791.0,2.1465,88800.0,1.0,INLAND
-117.25 ; 34.16,-117.25,34.16,34.0,1612.5,258.0,670.0,264.5,4.0275,138000.0,1.0,INLAND
-117.25 ; 34.41,-117.25,34.41,13.0,3682.0,668.0,1606.0,668.0,2.1875,119700.0,1.0,INLAND
-117.25 ; 34.49,-117.25,34.49,4.0,2372.0,361.0,1017.0,322.0,5.1112,170900.0,1.0,INLAND
-117.25 ; 34.51,-117.25,34.51,7.0,3200.0,477.0,1522.0,470.0,4.6914,142200.0,1.0,INLAND
-117.26 ; 32.8,-117.26,32.8,30.0,1446.0,385.0,650.0,344.0,3.744,450000.0,2.0,NEAR OCEAN
-117.26 ; 32.81,-117.26,32.81,30.666666666666668,1673.3333333333333,451.0,762.3333333333334,425.6666666666667,2.6968333333333327,281633.3333333333,2.0,NEAR OCEAN
-117.26 ; 32.82,-117.26,32.82,34.0,5846.0,785.0,1817.0,747.0,8.496,500001.0,2.0,NEAR OCEAN
-117.26 ; 32.85,-117.26,32.85,30.0,3652.0,499.0,978.0,462.0,8.2374,500001.0,2.0,NEAR OCEAN
-117.26 ; 32.95,-117.26,32.95,21.5,2513.25,470.5,924.0,414.75,5.7273499999999995,500001.0,2.0,NEAR OCEAN
-117.26 ; 32.96,-117.26,32.96,36.0,1721.0,264.0,710.0,282.0,10.1768,500001.0,2.0,NEAR OCEAN
-117.26 ; 32.97,-117.26,32.97,25.0,2582.0,495.0,1088.0,471.0,6.4651,500001.0,2.0,NEAR OCEAN
-117.26 ; 32.98,-117.26,32.98,12.0,3900.0,977.0,1690.0,892.0,4.125,226900.0,2.0,NEAR OCEAN
-117.26 ; 32.99,-117.26,32.99,16.0,2127.0,512.0,1532.0,499.0,2.7348,231300.0,2.0,NEAR OCEAN
-117.26 ; 33.0,-117.26,33.0,31.0,2695.0,491.0,1059.0,451.0,4.7841,393500.0,2.0,NEAR OCEAN
-117.26 ; 33.04,-117.26,33.04,17.0,2669.0,398.0,1260.5,402.5,6.4922,273950.0,2.0,NEAR OCEAN
-117.26 ; 33.05,-117.26,33.05,14.0,2323.0,373.0,1057.0,372.0,6.2513,240900.0,2.0,NEAR OCEAN
-117.26 ; 33.06,-117.26,33.06,11.0,2660.0,352.0,1226.0,366.0,7.6832,319800.0,2.0,NEAR OCEAN
-117.26 ; 33.08,-117.26,33.08,12.0,5080.0,814.0,1958.0,716.0,5.3905,299600.0,2.0,NEAR OCEAN
-117.26 ; 33.09,-117.26,33.09,17.5,3064.0,584.0,842.0,386.0,5.6045,363550.5,2.0,NEAR OCEAN
-117.26 ; 33.18,-117.26,33.18,9.0,4540.0,793.0,2235.0,746.0,4.5781,225600.0,2.0,NEAR OCEAN
-117.26 ; 33.19,-117.26,33.19,4.0,2342.0,595.0,1518.0,545.0,2.9469,216100.0,2.0,NEAR OCEAN
-117.26 ; 33.2,-117.26,33.2,13.0,3163.0,725.0,1675.0,629.0,2.8214,121900.0,0.0,<1H OCEAN
-117.26 ; 33.21,-117.26,33.21,26.0,1906.0,408.0,1325.0,427.0,3.0197,136000.0,0.0,<1H OCEAN
-117.26 ; 33.26,-117.26,33.26,9.0,4609.0,798.0,2582.0,746.0,4.3429,173900.0,0.0,<1H OCEAN
-117.26 ; 33.37,-117.26,33.37,7.0,2221.0,548.0,1440.0,501.0,2.2368,154600.0,0.0,<1H OCEAN
-117.26 ; 33.81,-117.26,33.81,22.0,4249.0,922.0,2405.0,846.0,2.1549,146500.0,1.0,INLAND
-117.26 ; 33.86,-117.26,33.86,16.0,1171.0,235.0,659.0,216.0,3.1103,110000.0,1.0,INLAND
-117.26 ; 34.11,-117.26,34.11,33.0,1210.0,288.0,850.0,238.0,1.2171,59300.0,1.0,INLAND
-117.26 ; 34.13,-117.26,34.13,39.0,3521.0,747.0,2256.0,721.0,2.1375,87500.0,1.0,INLAND
-117.26 ; 34.15,-117.26,34.15,33.0,2271.0,389.0,1100.0,380.0,3.5978,88300.0,1.0,INLAND
-117.26 ; 34.16,-117.26,34.16,31.0,3538.0,658.0,1715.0,663.0,3.7125,98000.0,1.0,INLAND
-117.26 ; 34.17,-117.26,34.17,30.0,1937.0,351.0,945.0,344.0,3.8906,123700.0,1.0,INLAND
-117.26 ; 34.24,-117.26,34.24,10.0,4750.0,844.0,1220.0,428.0,4.5536,132400.0,1.0,INLAND
-117.26 ; 34.53,-117.26,34.53,10.0,3103.0,520.0,1283.0,464.0,3.071,151600.0,1.0,INLAND
-117.27 ; 32.82,-117.27,32.82,38.5,2864.0,541.5,1121.5,514.5,4.3438,452600.5,2.0,NEAR OCEAN
-117.27 ; 32.83,-117.27,32.83,37.0,1648.5,309.5,637.0,293.0,5.96945,455000.5,2.0,NEAR OCEAN
-117.27 ; 32.84,-117.27,32.84,30.0,2797.5,553.5,1025.0,505.5,4.6567,438000.5,2.0,NEAR OCEAN
-117.27 ; 32.85,-117.27,32.85,26.0,1373.0,435.0,608.0,268.0,4.425,475000.0,2.0,NEAR OCEAN
-117.27 ; 32.98,-117.27,32.98,17.0,1853.0,392.0,351.0,208.0,5.2742,230700.0,2.0,NEAR OCEAN
-117.27 ; 32.99,-117.27,32.99,21.0,3318.0,578.0,1273.0,538.0,5.5922,382100.0,2.0,NEAR OCEAN
-117.27 ; 33.0,-117.27,33.0,36.0,2426.0,454.0,1085.0,420.0,5.1523,387800.0,2.0,NEAR OCEAN
-117.27 ; 33.02,-117.27,33.02,21.0,2144.0,340.0,928.0,344.0,5.798,286100.0,2.0,NEAR OCEAN
-117.27 ; 33.03,-117.27,33.03,20.5,2013.5,377.0,1106.0,363.5,3.75695,182250.0,2.0,NEAR OCEAN
-117.27 ; 33.04,-117.27,33.04,27.0,1839.0,392.0,1302.0,404.0,3.55,214600.0,2.0,NEAR OCEAN
-117.27 ; 33.05,-117.27,33.05,15.0,3333.0,808.0,1371.0,737.0,2.9083,122400.0,2.0,NEAR OCEAN
-117.27 ; 33.06,-117.27,33.06,7.0,3686.0,733.0,1612.0,672.0,3.197,367100.0,2.0,NEAR OCEAN
-117.27 ; 33.08,-117.27,33.08,7.0,2949.0,447.0,1335.0,426.0,6.0922,342400.0,2.0,NEAR OCEAN
-117.27 ; 33.18,-117.27,33.18,4.0,3371.0,773.0,1481.0,627.0,2.9133,215700.0,2.0,NEAR OCEAN
-117.27 ; 33.2,-117.27,33.2,28.5,1998.5,350.5,1169.0,368.0,4.2798,153800.0,0.0,<1H OCEAN
-117.27 ; 33.21,-117.27,33.21,5.0,5764.0,996.0,3161.0,1012.0,4.4531,177500.0,0.0,<1H OCEAN
-117.27 ; 33.23,-117.27,33.23,5.0,20908.0,3933.0,9690.0,3510.0,4.1405,198500.0,0.0,<1H OCEAN
-117.27 ; 33.55,-117.27,33.55,4.0,6112.0,890.0,2088.0,712.0,5.5351,429000.0,0.0,<1H OCEAN
-117.27 ; 33.68,-117.27,33.68,8.0,26322.0,4072.0,9360.0,3361.0,5.3238,228900.0,0.0,<1H OCEAN
-117.27 ; 33.77,-117.27,33.77,16.0,2876.0,576.0,1859.0,545.0,2.0878,101300.0,0.0,<1H OCEAN
-117.27 ; 33.92,-117.27,33.92,13.0,8443.0,1744.0,4885.0,1470.0,3.0907,127200.0,1.0,INLAND
-117.27 ; 34.06,-117.27,34.06,20.0,5258.0,1514.0,3780.0,1404.0,2.025,85700.0,1.0,INLAND
-117.27 ; 34.07,-117.27,34.07,21.0,418.0,132.0,401.0,120.0,1.7206,82100.0,1.0,INLAND
-117.27 ; 34.08,-117.27,34.08,38.0,1093.0,256.0,856.0,212.0,1.4279,73000.0,1.0,INLAND
-117.27 ; 34.1,-117.27,34.1,9.0,3904.0,1042.0,3688.0,896.0,1.8022,78000.0,1.0,INLAND
-117.27 ; 34.11,-117.27,34.11,44.0,567.0,134.0,565.0,150.0,1.8281,62900.0,1.0,INLAND
-117.27 ; 34.12,-117.27,34.12,52.0,954.0,246.0,943.0,256.0,0.8658,87500.0,1.0,INLAND
-117.27 ; 34.13,-117.27,34.13,38.0,2317.5,470.5,1590.5,428.5,3.01745,85800.0,1.0,INLAND
-117.27 ; 34.14,-117.27,34.14,35.5,2656.0,466.5,1200.0,415.0,4.27175,97000.0,1.0,INLAND
-117.27 ; 34.15,-117.27,34.15,35.0,1490.0,253.0,705.0,253.0,3.3616,95300.0,1.0,INLAND
-117.27 ; 34.16,-117.27,34.16,32.0,2894.0,427.0,1151.0,446.0,6.2236,159700.0,1.0,INLAND
-117.27 ; 34.17,-117.27,34.17,16.0,30.0,3.0,49.0,8.0,4.625,250000.0,1.0,INLAND
-117.27 ; 34.23,-117.27,34.23,26.0,6339.0,1244.0,1177.0,466.0,3.7708,110400.0,1.0,INLAND
-117.27 ; 34.39,-117.27,34.39,6.0,6988.0,1121.0,3660.0,1092.0,4.2224,125700.0,1.0,INLAND
-117.27 ; 34.4,-117.27,34.4,8.0,6042.0,979.0,3031.0,991.0,3.3438,124400.0,1.0,INLAND
-117.27 ; 34.48,-117.27,34.48,8.0,1794.0,276.0,690.0,271.0,3.662,165300.0,1.0,INLAND
-117.27 ; 34.49,-117.27,34.49,7.0,2344.0,351.0,846.0,314.0,4.7361,174500.0,1.0,INLAND
-117.27 ; 34.5,-117.27,34.5,7.5,2806.0,442.5,1005.5,355.5,5.70145,248350.0,1.0,INLAND
-117.28 ; 32.73,-117.28,32.73,44.0,1934.0,325.0,783.0,316.0,4.8684,358600.0,2.0,NEAR OCEAN
-117.28 ; 32.74,-117.28,32.74,33.0,4168.0,1112.0,1785.0,984.0,2.7515,247700.0,2.0,NEAR OCEAN
-117.28 ; 32.77,-117.28,32.77,38.0,1267.0,340.0,442.0,250.0,4.3403,500000.0,2.0,NEAR OCEAN
-117.28 ; 32.8,-117.28,32.8,20.0,1838.0,540.0,615.0,325.0,3.5486,193800.0,2.0,NEAR OCEAN
-117.28 ; 32.84,-117.28,32.84,31.0,1937.5,499.0,827.5,455.5,3.3451,370800.0,2.0,NEAR OCEAN
-117.28 ; 33.04,-117.28,33.04,12.0,4459.0,928.0,2471.0,888.0,3.5179,252700.0,2.0,NEAR OCEAN
-117.28 ; 33.06,-117.28,33.06,8.0,4172.0,1022.0,2585.0,941.0,4.0118,245800.0,2.0,NEAR OCEAN
-117.28 ; 33.1,-117.28,33.1,13.0,2644.0,422.0,1197.0,399.0,6.5338,267900.0,2.0,NEAR OCEAN
-117.28 ; 33.18,-117.28,33.18,15.0,1839.0,354.5,613.0,332.0,4.16505,167700.0,2.0,NEAR OCEAN
-117.28 ; 33.2,-117.28,33.2,15.5,3153.5,557.5,1997.5,559.5,4.276400000000001,163850.0,2.0,NEAR OCEAN
-117.28 ; 33.22,-117.28,33.22,13.0,2832.0,542.0,1065.0,531.0,2.3844,98600.0,0.0,<1H OCEAN
-117.28 ; 33.28,-117.28,33.28,13.0,6131.0,1040.0,4049.0,940.0,3.8156,150700.0,0.0,<1H OCEAN
-117.28 ; 33.72,-117.28,33.72,11.0,1161.0,235.0,640.0,210.0,2.1667,114600.0,0.0,<1H OCEAN
-117.28 ; 33.85,-117.28,33.85,16.0,3498.0,702.0,2372.0,672.0,2.3229,118000.0,1.0,INLAND
-117.28 ; 33.89,-117.28,33.89,33.0,6982.0,1371.0,5650.0,1195.0,2.5379,152700.0,1.0,INLAND
-117.28 ; 33.92,-117.28,33.92,35.0,3623.0,841.0,2721.0,766.0,2.1574,86900.0,1.0,INLAND
-117.28 ; 34.06,-117.28,34.06,2.0,1658.0,290.0,868.0,304.0,5.1365,136700.0,1.0,INLAND
-117.28 ; 34.09,-117.28,34.09,44.0,376.0,435.0,273.0,107.0,2.2917,90800.0,1.0,INLAND
-117.28 ; 34.11,-117.28,34.11,39.0,1573.0,418.0,1258.0,359.0,1.4896,69500.0,1.0,INLAND
-117.28 ; 34.13,-117.28,34.13,36.5,2273.0,572.5,1390.5,520.5,1.83385,76950.0,1.0,INLAND
-117.28 ; 34.15,-117.28000000000002,34.15,35.333333333333336,1961.6666666666667,351.0,738.3333333333334,334.6666666666667,3.606066666666667,118200.0,1.0,INLAND
-117.28 ; 34.16,-117.28,34.16,30.5,2248.5,494.0,1020.0,449.5,2.1805000000000003,106400.0,1.0,INLAND
